1002,YER061C,0.965784939,1003,YER074W
2337,YGR027W-B,0.963332146,2344,YHL046C
2337,YGR027W-B,0.972275352,2345,YHL048W
2337,YGR027W-B,0.964787315,2346,YHL050C
2337,YGR027W-B,0.981384501,2347,YHR001W-A
2337,YGR027W-B,0.889771604,2348,YHR003C
2337,YGR027W-B,0.977872184,2349,YHR005C
2337,YGR027W-B,0.929089777,2350,YHR018C
2339,YGR041W,0.935801148,2340,YGR043C
2339,YGR041W,0.970958028,2341,YGR045C
2339,YGR041W,0.940877848,2344,YHL046C
2339,YGR041W,0.915697915,2345,YHL048W
2339,YGR041W,0.914434586,2346,YHL050C
2339,YGR041W,0.926220848,2347,YHR001W-A
2339,YGR041W,0.959221916,2348,YHR003C
2339,YGR041W,0.885191838,2349,YHR005C
2339,YGR041W,0.949575155,2350,YHR018C
233,YPL016W,0.904457715,234,YJL052W
233,YPL016W,0.909660180,235,YJL061W
233,YPL016W,0.961849586,236,YER103W
233,YPL016W,0.994712420,237,YLL039C
233,YPL016W,0.962827910,238,YBL092W
233,YPL016W,0.960902892,239,YPL016W
233,YPL016W,0.904964004,240,YJL052W
233,YPL016W,0.984740368,241,YJL117W
2340,YGR043C,0.959246794,2341,YGR045C
2340,YGR043C,0.988475278,2344,YHL046C
2340,YGR043C,0.986015767,2345,YHL048W
2340,YGR043C,0.978984452,2346,YHL050C
2340,YGR043C,0.985352132,2347,YHR001W-A
2340,YGR043C,0.946867839,2348,YHR003C
2340,YGR043C,0.981956777,2349,YHR005C
2340,YGR043C,0.980507127,2350,YHR018C
2341,YGR045C,0.973546909,2344,YHL046C
2341,YGR045C,0.934526663,2345,YHL048W
2341,YGR045C,0.905844525,2346,YHL050C
2341,YGR045C,0.934656893,2347,YHR001W-A
2341,YGR045C,0.940991554,2348,YHR003C
2341,YGR045C,0.919219203,2349,YHR005C
2341,YGR045C,0.945520731,2350,YHR018C
2343,YGR049W,0.882840939,2348,YHR003C
2343,YGR049W,0.884690714,2350,YHR018C
2344,YHL046C,0.975514609,2345,YHL048W
2344,YHL046C,0.948548209,2346,YHL050C
2344,YHL046C,0.976988722,2347,YHR001W-A
2344,YHL046C,0.930517043,2348,YHR003C
2344,YHL046C,0.980041160,2349,YHR005C
2344,YHL046C,0.954559772,2350,YHR018C
2345,YHL048W,0.976442384,2346,YHL050C
2345,YHL048W,0.986141968,2347,YHR001W-A
2345,YHL048W,0.905470011,2348,YHR003C
2345,YHL048W,0.985543100,2349,YHR005C
2345,YHL048W,0.949625155,2350,YHR018C
2346,YHL050C,0.981242959,2347,YHR001W-A
2346,YHL050C,0.935338336,2348,YHR003C
2346,YHL050C,0.965124652,2349,YHR005C
2346,YHL050C,0.976453199,2350,YHR018C
2347,YHR001W-A,0.930845146,2348,YHR003C
2347,YHR001W-A,0.987453517,2349,YHR005C
2347,YHR001W-A,0.961182937,2350,YHR018C
2348,YHR003C,0.902363129,2349,YHR005C
2348,YHR003C,0.963827444,2350,YHR018C
2349,YHR005C,0.933898923,2350,YHR018C
234,YJL052W,0.995864989,235,YJL061W
234,YJL052W,0.892016992,237,YLL039C
234,YJL052W,0.942752658,238,YBL092W
234,YJL052W,0.997424242,240,YJL052W
234,YJL052W,0.956613318,241,YJL117W
2355,YHR027C,0.979105344,2357,YHR042W
2356,YHR040W,0.928190168,2358,YHR044C
235,YJL061W,0.896218094,237,YLL039C
235,YJL061W,0.941081571,238,YBL092W
235,YJL061W,0.995875062,240,YJL052W
235,YJL061W,0.959107690,241,YJL117W
2360,YHR048W,0.877490105,2363,YHR065C
2361,YHR049W,0.969012324,2362,YHR063C
2361,YHR049W,0.896720293,2363,YHR065C
2361,YHR049W,0.951135771,2364,YHR067W
2361,YHR049W,0.876473386,2365,YHR069C
2361,YHR049W,0.876398161,2366,YHR071W
2361,YHR049W,0.905452837,2369,YIL148W
2362,YHR063C,0.937968148,2363,YHR065C
2362,YHR063C,0.976215215,2364,YHR067W
2362,YHR063C,0.903101925,2365,YHR069C
2362,YHR063C,0.932524759,2366,YHR071W
2362,YHR063C,0.932386102,2367,YHR072W-A
2362,YHR063C,0.909872747,2368,YIL146C
2362,YHR063C,0.925738044,2369,YIL148W
2363,YHR065C,0.921346354,2364,YHR067W
2363,YHR065C,0.888296133,2365,YHR069C
2363,YHR065C,0.921289886,2366,YHR071W
2363,YHR065C,0.918763382,2367,YHR072W-A
2363,YHR065C,0.918339543,2368,YIL146C
2364,YHR067W,0.902959846,2365,YHR069C
2364,YHR067W,0.876892622,2367,YHR072W-A
2366,YHR071W,0.986728989,2367,YHR072W-A
2366,YHR071W,0.976353988,2368,YIL146C
2366,YHR071W,0.950845990,2369,YIL148W
2367,YHR072W-A,0.986460935,2368,YIL146C
2367,YHR072W-A,0.952504333,2369,YIL148W
2368,YIL146C,0.928207807,2369,YIL148W
236,YER103W,0.962821975,237,YLL039C
236,YER103W,0.883316546,238,YBL092W
236,YER103W,0.934732731,239,YPL016W
236,YER103W,0.946194499,241,YJL117W
2371,YIL152W,0.943381882,2372,YIL154C
2371,YIL152W,0.913425631,2373,YIL156W
2372,YIL154C,0.900415621,2373,YIL156W
2373,YIL156W,0.895401199,2374,YIL170W
2373,YIL156W,0.899833966,2375,YIL172C
2374,YIL170W,0.913543971,2375,YIL172C
2377,YIL176C,0.898002100,2378,YIR001C
2377,YIL176C,0.928253541,2380,YIR017C
2378,YIR001C,0.925455204,2380,YIR017C
237,YLL039C,0.936330990,238,YBL092W
237,YLL039C,0.975489295,239,YPL016W
237,YLL039C,0.895355177,240,YJL052W
237,YLL039C,0.981140771,241,YJL117W
2388,YIR044C,0.984537694,2390,YJL004C
2389,YJL002C,0.877022435,2391,YJL006C
238,YBL092W,0.876581807,239,YPL016W
238,YBL092W,0.937554307,240,YJL052W
238,YBL092W,0.965376977,241,YJL117W
2390,YJL004C,0.879440488,2391,YJL006C
2394,YLL039C,0.880821278,2395,YBL092W
239,YPL016W,0.936886735,241,YJL117W
2400,YLL039C,0.926159398,2401,YBL092W
2400,YLL039C,0.894158997,2403,YJL052W
2400,YLL039C,0.928701345,2404,YJL061W
2400,YLL039C,0.906100370,2405,YER103W
2400,YLL039C,0.944047255,2406,YLL039C
2400,YLL039C,0.921619613,2407,YBL092W
2400,YLL039C,0.910558468,2408,YPL016W
2400,YLL039C,0.894612210,2409,YJL052W
2400,YLL039C,0.958130215,2410,YJL061W
2401,YBL092W,0.918839623,2403,YJL052W
2401,YBL092W,0.883865788,2405,YER103W
2401,YBL092W,0.974627574,2407,YBL092W
2401,YBL092W,0.938067356,2409,YJL052W
2401,YBL092W,0.901991181,2410,YJL061W
2402,YPL016W,0.872678039,2405,YER103W
2403,YJL052W,0.937100189,2407,YBL092W
2403,YJL052W,0.994620871,2409,YJL052W
2403,YJL052W,0.919743338,2410,YJL061W
2404,YJL061W,0.914193167,2405,YER103W
2404,YJL061W,0.877939205,2407,YBL092W
2404,YJL061W,0.934225903,2408,YPL016W
2404,YJL061W,0.915027808,2410,YJL061W
2405,YER103W,0.919242478,2407,YBL092W
2405,YER103W,0.928328271,2408,YPL016W
2406,YLL039C,0.896220120,2410,YJL061W
2407,YBL092W,0.946494235,2409,YJL052W
2407,YBL092W,0.890197136,2410,YJL061W
2408,YPL016W,0.912678642,2410,YJL061W
2409,YJL052W,0.929131256,2410,YJL061W
240,YJL052W,0.957680524,241,YJL117W
2412,YLL039C,0.900420691,2413,YBL092W
2412,YLL039C,0.895910110,2415,YJL052W
2412,YLL039C,0.940511555,2416,YJR085C
2413,YBL092W,0.971827987,2416,YJR085C
2413,YBL092W,0.895788327,2417,YJR087W
2415,YJL052W,0.946702109,2416,YJR085C
2419,YJR091C,0.908789608,2421,YJR094W-A
2429,YJR134C,0.945074765,2430,YJR135W-A
2436,YJR159W,0.925354205,2437,YJR161C
2439,YKL003C,0.969714443,2440,YKR075C
243,YJL121C,0.971034646,244,YJL123C
2454,YLL020C,0.960693669,2456,YLL024C
2454,YLL020C,0.899316731,2457,YLL026W
2454,YLL020C,0.957250264,2458,YLL040C
2455,YLL022C,0.907430877,2456,YLL024C
2455,YLL022C,0.969559712,2457,YLL026W
2455,YLL022C,0.902974980,2458,YLL040C
2455,YLL022C,0.877524314,2459,YLL042C
2456,YLL024C,0.971171427,2457,YLL026W
2456,YLL024C,0.991227475,2458,YLL040C
2457,YLL026W,0.962438052,2458,YLL040C
2457,YLL026W,0.884440749,2459,YLL042C
2462,YLL048C,0.957780366,2463,YLL050C
2462,YLL048C,0.950343017,2464,YLR278C
2463,YLL050C,0.887385749,2464,YLR278C
2467,YLR284C,0.915803529,2468,YLR286C
2467,YLR284C,0.971839151,2469,YLR287C-A
2467,YLR284C,0.882533373,2470,YLR301W
2468,YLR286C,0.957923329,2469,YLR287C-A
2468,YLR286C,0.910993196,2470,YLR301W
2469,YLR287C-A,0.942980070,2470,YLR301W
2472,YLR305C,0.955778377,2474,YLR309C
2472,YLR305C,0.909276249,2475,YLR311C
2472,YLR305C,0.955088239,2476,YLR324W
2472,YLR305C,0.882665887,2478,YLR328W
2472,YLR305C,0.976533321,2479,YLR330W
2472,YLR305C,0.927984592,2480,YLR332W
2474,YLR309C,0.952412885,2475,YLR311C
2474,YLR309C,0.965519244,2476,YLR324W
2474,YLR309C,0.901354202,2477,YLR326W
2474,YLR309C,0.895514877,2478,YLR328W
2474,YLR309C,0.971394137,2479,YLR330W
2474,YLR309C,0.879773712,2480,YLR332W
2475,YLR311C,0.902812557,2476,YLR324W
2475,YLR311C,0.950816975,2479,YLR330W
2476,YLR324W,0.895967121,2477,YLR326W
2476,YLR324W,0.964490586,2478,YLR328W
2476,YLR324W,0.966016981,2479,YLR330W
2476,YLR324W,0.955409377,2480,YLR332W
2477,YLR326W,0.885502372,2479,YLR330W
2478,YLR328W,0.882556001,2479,YLR330W
2478,YLR328W,0.938586146,2480,YLR332W
2479,YLR330W,0.898372336,2480,YLR332W
247,YJL141C,0.991851530,248,YJL143W
2483,YLR350W,0.955258894,2485,YLR354C
2483,YLR350W,0.896674666,2486,YLR356W
2484,YLR352W,0.887363496,2485,YLR354C
2484,YLR352W,0.948882696,2486,YLR356W
2485,YLR354C,0.947510486,2486,YLR356W
2488,YMR045C,0.996189769,2489,YMR046W-A
2491,YMR050C,0.915861555,2492,YMR052C-A
2491,YMR050C,0.872966192,2493,YMR053C
2492,YMR052C-A,0.939740794,2493,YMR053C
2493,YMR053C,0.943535619,2494,YMR067C
2496,YMR071C,0.964281988,2497,YMR073C
24,CAB,0.948570281,25,YAL068C
2500,YMR089C,0.885983783,2501,YMR091C
2504,YMR097C,0.874108501,2505,YMR099C
2504,YMR097C,0.887124291,2506,YMR113W
2504,YMR097C,0.874502582,2507,YMR115W
2505,YMR099C,0.952423761,2507,YMR115W
2509,YMR119W,0.955623233,2510,YMR120C
2509,YMR119W,0.899661980,2511,YMR122C
2509,YMR119W,0.883106585,2513,YNL085W
2509,YMR119W,0.895210058,2514,YNL087W
2510,YMR120C,0.960180799,2511,YMR122C
2510,YMR120C,0.933686273,2513,YNL085W
2510,YMR120C,0.930993940,2514,YNL087W
2511,YMR122C,0.914517342,2513,YNL085W
2511,YMR122C,0.929615636,2514,YNL087W
2512,YNL083W,0.928141158,2513,YNL085W
2516,YNL091W,0.970914683,2517,YNL093W
2520,YNL111C,0.938269329,2521,YNL113W
2522,YNL115C,0.974554454,2523,YNL117W
2522,YNL115C,0.976553651,2524,YNL131W
2522,YNL115C,0.911897869,2525,YNL133C
2522,YNL115C,0.970299429,2526,YNL135C
2522,YNL115C,0.943301933,2527,YNL137C
2522,YNL115C,0.993151769,2530,YNL155W
2522,YNL115C,0.992592271,2531,YNL157W
2522,YNL115C,0.885219479,2532,YNL159C
2522,YNL115C,0.972011486,2533,YNL161W
2523,YNL117W,0.968821247,2524,YNL131W
2523,YNL117W,0.944481126,2525,YNL133C
2523,YNL117W,0.972954053,2526,YNL135C
2523,YNL117W,0.947043081,2527,YNL137C
2523,YNL117W,0.885382988,2529,YNL141W
2523,YNL117W,0.977378617,2530,YNL155W
2523,YNL117W,0.986025854,2531,YNL157W
2523,YNL117W,0.907463322,2532,YNL159C
2523,YNL117W,0.987250054,2533,YNL161W
2524,YNL131W,0.947038138,2525,YNL133C
2524,YNL131W,0.956559837,2526,YNL135C
2524,YNL131W,0.936352909,2527,YNL137C
2524,YNL131W,0.974203013,2530,YNL155W
2524,YNL131W,0.982755577,2531,YNL157W
2524,YNL131W,0.954895476,2532,YNL159C
2524,YNL131W,0.984375776,2533,YNL161W
2525,YNL133C,0.889453908,2526,YNL135C
2525,YNL133C,0.904698291,2528,YNL139C
2525,YNL133C,0.924906707,2529,YNL141W
2525,YNL133C,0.913649407,2530,YNL155W
2525,YNL133C,0.920293608,2531,YNL157W
2525,YNL133C,0.937689670,2532,YNL159C
2525,YNL133C,0.972922028,2533,YNL161W
2526,YNL135C,0.937963912,2527,YNL137C
2526,YNL135C,0.968828822,2530,YNL155W
2526,YNL135C,0.978151356,2531,YNL157W
2526,YNL135C,0.880543432,2532,YNL159C
2526,YNL135C,0.957502295,2533,YNL161W
2527,YNL137C,0.937695716,2530,YNL155W
2527,YNL137C,0.955068464,2531,YNL157W
2527,YNL137C,0.929118481,2533,YNL161W
2528,YNL139C,0.873354525,2529,YNL141W
2528,YNL139C,0.934113672,2532,YNL159C
2528,YNL139C,0.879471798,2533,YNL161W
2529,YNL141W,0.877169449,2533,YNL161W
2530,YNL155W,0.988790296,2531,YNL157W
2530,YNL155W,0.890524306,2532,YNL159C
2530,YNL155W,0.976223143,2533,YNL161W
2531,YNL157W,0.900107951,2532,YNL159C
2531,YNL157W,0.975659746,2533,YNL161W
2532,YNL159C,0.947801701,2533,YNL161W
2537,YOL049W,0.910627300,2538,YOL051W
2537,YOL049W,0.924422615,2539,YOL052C-A
2537,YOL049W,0.946420112,2540,YOL054W
2538,YOL051W,0.932407092,2539,YOL052C-A
2538,YOL051W,0.978418947,2540,YOL054W
2539,YOL052C-A,0.947969271,2540,YOL054W
253,YJL165C,0.932747263,254,YJL167W
2542,YOL070C,0.942682826,2543,YOL072W
2547,YOL080C,0.919825430,2548,YOL094C
2548,YOL094C,0.894436002,2549,YOL096C
2551,YOL100W,0.896382762,2552,YOL102C
2551,YOL100W,0.898034118,2553,YOL103W-A
2551,YOL100W,0.959306189,2554,YOL116W
2552,YOL102C,0.973765166,2554,YOL116W
2556,YOL120C,0.882824142,2557,YOL122C
2559,YOL126C,0.972016250,2560,YOR257W
2559,YOL126C,0.930708167,2561,YOR259C
2559,YOL126C,0.970772359,2562,YOR261C
2559,YOL126C,0.930082122,2563,YOR263C
2560,YOR257W,0.960203335,2561,YOR259C
2560,YOR257W,0.989748214,2562,YOR261C
2560,YOR257W,0.907412940,2563,YOR263C
2560,YOR257W,0.883856190,2564,YOR265W
2561,YOR259C,0.942020497,2562,YOR261C
2561,YOR259C,0.926330063,2563,YOR263C
2561,YOR259C,0.961167166,2564,YOR265W
2562,YOR261C,0.901710914,2563,YOR263C
2563,YOR263C,0.901598193,2564,YOR265W
2566,YOR281C,0.881536908,2567,YOR283W
2566,YOR281C,0.986731402,2568,YOR285W
2566,YOR281C,0.924343286,2569,YOR287C
2566,YOR281C,0.903210719,2570,YOR289W
2566,YOR281C,0.981560146,2572,YOR304C-A
2566,YOR281C,0.941602523,2573,YOR305W
2567,YOR283W,0.893068971,2568,YOR285W
2567,YOR283W,0.911102115,2569,YOR287C
2567,YOR283W,0.937339901,2571,YOR291W
2567,YOR283W,0.929217933,2572,YOR304C-A
2567,YOR283W,0.926492148,2574,YOR307C
2568,YOR285W,0.924158609,2569,YOR287C
2568,YOR285W,0.940416214,2570,YOR289W
2568,YOR285W,0.975931118,2572,YOR304C-A
2568,YOR285W,0.964870385,2573,YOR305W
2569,YOR287C,0.886925513,2570,YOR289W
2569,YOR287C,0.885348324,2571,YOR291W
2569,YOR287C,0.953753429,2572,YOR304C-A
2569,YOR287C,0.932313028,2573,YOR305W
2569,YOR287C,0.942901160,2574,YOR307C
2570,YOR289W,0.901275260,2572,YOR304C-A
2570,YOR289W,0.977022071,2573,YOR305W
2571,YOR291W,0.927338429,2574,YOR307C
2572,YOR304C-A,0.928437551,2573,YOR305W
2572,YOR304C-A,0.895676376,2574,YOR307C
2576,YOR311C,0.879039049,2577,YOR313C
2576,YOR311C,0.918404698,2578,YOR327C
2576,YOR311C,0.928800973,2581,YOR333C
2577,YOR313C,0.895832337,2578,YOR327C
2577,YOR313C,0.952632740,2581,YOR333C
2578,YOR327C,0.974499010,2581,YOR333C
2587,YPL247C,0.926202269,2588,YPL249C
2587,YPL247C,0.959548757,2589,YPL250C
2587,YPL247C,0.913657256,2590,YPL262W
2587,YPL247C,0.973194733,2591,YPL264C
2587,YPL247C,0.957779627,2594,YPL270W
2587,YPL247C,0.978341551,2595,YPL272C
2587,YPL247C,0.875104481,2596,YPR002W
2587,YPL247C,0.964914988,2597,YPR004C
2587,YPL247C,0.928632708,2598,YPR006C
2588,YPL249C,0.902308078,2589,YPL250C
2588,YPL249C,0.917677948,2591,YPL264C
2588,YPL249C,0.913178316,2597,YPR004C
2589,YPL250C,0.927646086,2590,YPL262W
2589,YPL250C,0.963185648,2591,YPL264C
2589,YPL250C,0.889850335,2593,YPL268W
2589,YPL250C,0.977410978,2594,YPL270W
2589,YPL250C,0.906295222,2595,YPL272C
2589,YPL250C,0.946849341,2596,YPR002W
2589,YPL250C,0.906245337,2597,YPR004C
2589,YPL250C,0.933472758,2598,YPR006C
2590,YPL262W,0.883161483,2591,YPL264C
2590,YPL262W,0.899566126,2593,YPL268W
2590,YPL262W,0.932424773,2594,YPL270W
2590,YPL262W,0.927763903,2596,YPR002W
2590,YPL262W,0.910429562,2597,YPR004C
2590,YPL262W,0.978837029,2598,YPR006C
2591,YPL264C,0.876097978,2593,YPL268W
2591,YPL264C,0.965262336,2594,YPL270W
2591,YPL264C,0.942421113,2595,YPL272C
2591,YPL264C,0.907328375,2596,YPR002W
2591,YPL264C,0.913794249,2597,YPR004C
2591,YPL264C,0.920691200,2598,YPR006C
2593,YPL268W,0.893235674,2594,YPL270W
2593,YPL268W,0.949967026,2596,YPR002W
2593,YPL268W,0.936763533,2598,YPR006C
2594,YPL270W,0.923960302,2595,YPL272C
2594,YPL270W,0.938509396,2596,YPR002W
2594,YPL270W,0.926793677,2597,YPR004C
2594,YPL270W,0.943781998,2598,YPR006C
2595,YPL272C,0.948278663,2597,YPR004C
2596,YPR002W,0.936348627,2598,YPR006C
2597,YPR004C,0.907048737,2598,YPR006C
259,YJL189W,0.959059636,260,YJL191W
2602,YPR026W,0.977577932,2603,YPR028W
2602,YPR026W,0.982671956,2604,YPR030W
2603,YPR028W,0.978900822,2604,YPR030W
2608,CAB,0.911203491,2609,RCA
2615,YPR064W,0.895680014,2620,YPR086W
2615,YPR064W,0.872893987,2622,YPR090W
2616,YPR066W,0.903131126,2618,YPR070W
2619,YPR072W,0.881244542,2620,YPR086W
2620,YPR086W,0.955772539,2621,YPR088C
2620,YPR086W,0.913912411,2622,YPR090W
2621,YPR088C,0.889124409,2622,YPR090W
2631,YPR120C,0.887073145,2632,YPR133W-A
2634,YPR137C-A,0.995198156,2635,YPR137W
2634,YPR137C-A,0.941619290,2636,YPR139C
2634,YPR137C-A,0.894481144,2638,Q0105
2634,YPR137C-A,0.943782063,2639,Q0115
2634,YPR137C-A,0.926057263,2640,Q0130
2634,YPR137C-A,0.954813512,2641,Q0142
2634,YPR137C-A,0.959684741,2642,Q0144
2635,YPR137W,0.941079010,2636,YPR139C
2635,YPR137W,0.901769783,2638,Q0105
2635,YPR137W,0.958283693,2639,Q0115
2635,YPR137W,0.901667583,2640,Q0130
2635,YPR137W,0.948115242,2641,Q0142
2635,YPR137W,0.944181718,2642,Q0144
2636,YPR139C,0.922710349,2640,Q0130
2636,YPR139C,0.927295646,2641,Q0142
2636,YPR139C,0.920629441,2642,Q0144
2638,Q0105,0.944859560,2639,Q0115
2638,Q0105,0.885608300,2641,Q0142
2639,Q0115,0.895924676,2641,Q0142
2640,Q0130,0.962068050,2641,Q0142
2640,Q0130,0.939269569,2642,Q0144
2641,Q0142,0.960149218,2642,Q0144
2644,YAL011W,0.892051063,2647,YAL017W
2646,YAL015C,0.945220617,2647,YAL017W
2649,YAL021C,0.918029275,2650,YAL034W-A
264,YJL199C,0.939883520,265,YKL109W
2653,YAL039C,0.912976913,2654,YAL041W
2653,YAL039C,0.910858507,2655,YAL043C
2653,YAL039C,0.924248218,2656,YAL058W
2653,YAL039C,0.953490902,2657,YAL060W
2653,YAL039C,0.950353577,2658,YAL062W
2653,YAL039C,0.935953063,2660,YAL064W-B
2653,YAL039C,0.875500504,2661,YAL066W
2653,YAL039C,0.918566773,2662,YBR140C
2654,YAL041W,0.983732811,2655,YAL043C
2654,YAL041W,0.927157753,2657,YAL060W
2654,YAL041W,0.916682830,2660,YAL064W-B
2654,YAL041W,0.940559846,2662,YBR140C
2655,YAL043C,0.891042286,2657,YAL060W
2655,YAL043C,0.901014690,2662,YBR140C
2656,YAL058W,0.950312652,2657,YAL060W
2656,YAL058W,0.962272306,2658,YAL062W
2656,YAL058W,0.917820474,2659,YAL064C-A
2656,YAL058W,0.946298646,2660,YAL064W-B
2656,YAL058W,0.954767049,2661,YAL066W
2656,YAL058W,0.909380803,2662,YBR140C
2657,YAL060W,0.955240838,2658,YAL062W
2657,YAL060W,0.893242434,2659,YAL064C-A
2657,YAL060W,0.986722107,2660,YAL064W-B
2657,YAL060W,0.965363172,2661,YAL066W
2657,YAL060W,0.987376831,2662,YBR140C
2658,YAL062W,0.906331340,2659,YAL064C-A
2658,YAL062W,0.934387270,2660,YAL064W-B
2658,YAL062W,0.937574697,2661,YAL066W
2658,YAL062W,0.906766481,2662,YBR140C
2658,YAL062W,0.897987491,2663,YBR142W
2659,YAL064C-A,0.904222284,2660,YAL064W-B
2659,YAL064C-A,0.942657024,2661,YAL066W
2659,YAL064C-A,0.882316383,2662,YBR140C
2659,YAL064C-A,0.935644736,2663,YBR142W
2660,YAL064W-B,0.973924874,2661,YAL066W
2660,YAL064W-B,0.985473030,2662,YBR140C
2661,YAL066W,0.958190434,2662,YBR140C
2661,YAL066W,0.900415218,2663,YBR142W
2669,YBR165W,0.981178889,2671,YBR169C
2669,YBR165W,0.980991011,2673,YBR173C
2671,YBR169C,0.873943368,2672,YBR171W
2671,YBR169C,0.983962114,2673,YBR173C
2672,YBR171W,0.901049550,2673,YBR173C
2675,YBR189W,0.959990140,2676,YBR191W
2676,YBR191W,0.944249520,2677,YBR193C
2676,YBR191W,0.887982705,2678,YBR195C
2677,YBR193C,0.878588879,2678,YBR195C
2677,YBR193C,0.896681943,2679,YBR197C
2682,YBR215W,0.916777129,2683,YBR217W
2682,YBR215W,0.937633355,2685,YBR221C
2682,YBR215W,0.912813073,2686,YDL046W
2682,YBR215W,0.927264892,2687,YDL048C
2683,YBR217W,0.912188893,2687,YDL048C
2685,YBR221C,0.964732237,2686,YDL046W
2685,YBR221C,0.935079572,2687,YDL048C
2686,YDL046W,0.948712640,2687,YDL048C
2692,YDL070W,0.974915962,2693,YDL072C
2707,YDL124W,0.989447839,2708,YDL126C
2707,YDL124W,0.895967532,2709,YDL128W
2707,YDL124W,0.952882793,2710,YDR173C
2708,YDL126C,0.928394289,2709,YDL128W
2708,YDL126C,0.950999095,2710,YDR173C
2709,YDL128W,0.878155626,2710,YDR173C
2719,YDR202C,0.955836275,2721,YDR206W
2719,YDR202C,0.960197098,2722,YDR216W
271,YKL133C,0.925902254,272,YKL135C
2721,YDR206W,0.946917794,2722,YDR216W
2726,YDR224C,0.970110713,2727,YDR226W
2736,YDR545W,0.929993209,2737,YEL002C
2747,YEL044W,0.912572851,2750,YEL050C
2747,YEL044W,0.935495908,2751,YEL052W
2748,YEL046C,0.958244041,2750,YEL050C
2748,YEL046C,0.902686587,2751,YEL052W
2750,YEL050C,0.938276633,2751,YEL052W
2755,YEL071W,0.912471677,2756,YEL073C
2755,YEL071W,0.966791540,2757,YEL075C
2756,YEL073C,0.878340995,2757,YEL075C
275,YKL141W,0.977493943,276,YKL143W
275,YKL141W,0.920144404,277,YKL157W
275,YKL141W,0.944125296,278,YKL159C
276,YKL143W,0.961523749,277,YKL157W
276,YKL143W,0.958381573,278,YKL159C
2771,YGL009C,0.926593626,2772,YGL011C
2771,YGL009C,0.938359269,2773,YGL013C
2772,YGL011C,0.901632228,2773,YGL013C
277,YKL157W,0.931020340,278,YKL159C
2783,YGR077C,0.923434905,2784,YGR079W
2783,YGR077C,0.879027737,2786,YGR083C
2784,YGR079W,0.939366196,2786,YGR083C
2784,YGR079W,0.877366125,2787,YGR085C
2786,YGR083C,0.910257911,2787,YGR085C
2793,YGR109C,0.921067148,2794,YGR121C
2794,YGR121C,0.932484768,2796,YGR124W
2801,YGR146C,0.949178531,2802,YGR148C
2801,YGR146C,0.922923248,2803,YGR150C
2801,YGR146C,0.971761352,2806,YHR097C
2802,YGR148C,0.914135633,2803,YGR150C
2802,YGR148C,0.958914827,2805,YGR154C
2802,YGR148C,0.958993363,2806,YHR097C
2803,YGR150C,0.880639934,2805,YGR154C
2803,YGR150C,0.930623364,2806,YHR097C
2805,YGR154C,0.893333905,2806,YHR097C
2811,YHR107C,0.930203306,2812,YHR121W
283,YKL180W,0.933453794,284,YKL182W
283,YKL180W,0.930542542,285,YKL184W
283,YKL180W,0.957962240,286,YKL186C
283,YKL180W,0.978603078,288,YKL190W
283,YKL180W,0.916226801,289,YLR092W
284,YKL182W,0.991258098,285,YKL184W
284,YKL182W,0.990016237,286,YKL186C
284,YKL182W,0.963353967,288,YKL190W
284,YKL182W,0.895149039,289,YLR092W
2854,YJL032W,0.953698688,2855,YJL034W
285,YKL184W,0.974378464,286,YKL186C
285,YKL184W,0.954071503,288,YKL190W
285,YKL184W,0.873505789,289,YLR092W
2860,YJL057C,0.965909947,2861,YJL059W
2866,YJL081C,0.919436492,2867,YJL083W
286,YKL186C,0.987224076,288,YKL190W
286,YKL186C,0.937101938,289,YLR092W
2870,YJL089W,0.916558808,2871,YJL091C
2875,YJL111W,0.971548748,2876,YJL113W
2878,YKL028W,0.969779117,2880,YKL032C
2882,YKL035W,0.956196516,2883,YKL037W
2882,YKL035W,0.897867070,2884,YKL051W
2882,YKL035W,0.932078774,2885,YKL053C-A
2882,YKL035W,0.914886525,2886,YKL054C
2882,YKL035W,0.948863697,2887,YKL056C
2882,YKL035W,0.907608352,2888,YKL058W
2882,YKL035W,0.961552747,2889,YKL060C
2882,YKL035W,0.938762326,2890,YKL074C
2883,YKL037W,0.876700814,2884,YKL051W
2883,YKL037W,0.882738562,2885,YKL053C-A
2883,YKL037W,0.935418443,2887,YKL056C
2883,YKL037W,0.945681343,2888,YKL058W
2883,YKL037W,0.913985757,2889,YKL060C
2883,YKL037W,0.966918426,2890,YKL074C
2884,YKL051W,0.922885445,2885,YKL053C-A
2884,YKL051W,0.981301567,2886,YKL054C
2885,YKL053C-A,0.941893107,2886,YKL054C
2887,YKL056C,0.915439495,2888,YKL058W
2887,YKL056C,0.957271767,2889,YKL060C
2887,YKL056C,0.948019222,2890,YKL074C
2888,YKL058W,0.895893588,2889,YKL060C
2888,YKL058W,0.985641682,2890,YKL074C
2889,YKL060C,0.944353425,2890,YKL074C
288,YKL190W,0.938788590,289,YLR092W
2893,YKL080W,0.955774385,2894,YKL082C
2895,YKL084W,0.953728939,2896,YKL097C
2898,YKL101W,0.935734862,2899,YKL103C
2901,YKL107W,0.882446626,2902,YLR009W
2906,YLR017W,0.921100886,2907,YLR019W
2906,YLR017W,0.883173139,2908,YLR033W
2906,YLR017W,0.954130306,2911,YLR038C
2906,YLR017W,0.894071116,2912,YLR040C
